2025-07-30 21:14:30.490238 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:30.508211 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:30.544416 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:30.579350 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:30.611533 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:30.656443 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:30.690734 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:30.714119 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:30.758200 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:30.803810 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:30.853916 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:30.889044 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:30.911262 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:30.940269 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:30.976968 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:31.000165 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:31.039613 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:31.063703 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:31.105615 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:31.131230 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:31.164226 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:31.196582 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:31.221087 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:31.259676 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:31.286578 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:31.317750 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:31.356697 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:31.381340 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:31.414267 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:31.458902 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:31.494310 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:31.523356 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:31.551510 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:31.585819 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:31.618323 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:31.670978 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:31.716261 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:31.759658 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:31.786268 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:31.814826 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:31.841065 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:31.882351 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:31.906244 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:31.947144 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:31.973602 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:32.006796 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:32.030998 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:32.070257 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:32.097923 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:32.127183 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:32.157022 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:32.186884 - Detected: i, Frame: data\dishant.jpg
